id,term,english,category,alphabet_index,korean_initial,definition,detailed_explanation,related_concepts,source_files,exam_note,bok_appeared,importance,difficulty,concept_image_url,concept_image_alt,known_status,last_reviewed,review_count
CS-058,응집도,Cohesion,소프트웨어공학,C,ㅇ,응집도는 한 모듈 내부의 기능과 데이터가 하나의 책임을 중심으로 얼마나 밀접하게 모여 있는지를 나타내는 설계 품질 척도입니다.,"의미: 응집도는 모듈 내부 요소들이 같은 목적을 위해 함께 존재하는 정도를 말한다. 높은 응집도는 변경 이유가 명확하고 테스트 범위가 작아지는 반면, 낮은 응집도는 unrelated 기능이 섞여 수정 영향이 커진다. 결합도는 모듈 간 의존을 보지만 응집도는 모듈 내부 초점을 본다. 활용: 계좌 이체 서비스에 인증, 수수료 계산, 알림 발송, 보고서 생성이 모두 섞이면 응집도가 낮다. 업무 책임별로 분리하면 장애 원인 파악과 회귀 테스트가 쉬워지지만, 지나친 분해는 호출 관계와 트랜잭션 경계를 복잡하게 만들 수 있다.","[[모듈화]], [[결합도]], [[정보 은닉]], [[SOLID]], [[테스트]]",05-14-06-한국은행-2022-컴퓨터공학-학술-파트-I.md; 05-08-산업은행-기출.md; 11-03-설계-결합도-응집도.md,"소프트웨어공학 문제에서는 응집도의 정의만 쓰지 말고 관련 개념(모듈화, 결합도, 정보 은닉)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,상,중,/api/concept-images/CS-058.svg,"응집도(소프트웨어공학)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 모듈화, 결합도, 정보 은닉",,,0
CS-059,컴파일러,Compiler,프로그래밍 언어,C,ㅋ,컴파일러는 고수준 소스 코드를 분석·최적화해 목적 코드나 중간 표현으로 변환하고 실행 전 오류를 잡는 번역 프로그램입니다.,"의미: 컴파일러는 어휘·구문·의미 분석을 거쳐 타입 오류와 문법 오류를 찾고, 중간 표현 최적화 후 대상 기계어·바이트코드·어셈블리로 변환합니다. 인터프리터와 달리 실행 전에 많은 검사를 수행하지만, 일부 언어는 JIT처럼 실행 중 컴파일도 섞습니다. 활용: 빌드 속도, 실행 성능, 정적 분석 품질이 중요한 개발 환경의 기반입니다. 면접에서는 링커·로더와 단계 차이, 정적 타입 언어에서 오류 발견 시점, 최적화가 디버깅에 미치는 영향을 연결해 설명하면 좋습니다.","[[프로그래밍 언어]], [[인터프리터]], [[어셈블러]], [[객체]], [[메모리 관리]]",보강 개념(페이지 직접 언급 없음),"프로그래밍 언어 문제에서는 컴파일러의 정의만 쓰지 말고 관련 개념(프로그래밍 언어, 인터프리터, 어셈블러)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,중,/api/concept-images/CS-059.svg,"컴파일러(프로그래밍 언어)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 프로그래밍 언어, 인터프리터, 어셈블러",,,0
CS-060,복합키,Composite Key,데이터베이스,C,ㅂ,"복합키는 두 개 이상의 속성을 결합해야 튜플을 유일하게 식별할 수 있는 키로, 관계 테이블과 이력 데이터에서 자주 사용됩니다.","의미: 복합키는 하나의 속성만으로는 행을 구분할 수 없어 여러 속성을 묶어 유일성을 만드는 키다. 예를 들어 학생ID와 과목ID를 합친 수강 테이블의 키처럼, 각 속성은 중복될 수 있어도 조합은 중복되면 안 된다. 활용: N:M 관계 해소 테이블, 거래일자와 순번을 함께 쓰는 이력 테이블에서 자연스럽다. 다만 외래키로 전파될 때 조인 조건이 길어지고 인덱스 컬럼 순서가 성능에 영향을 준다. 부분 함수 종속이 있으면 제2정규형 위반이므로 비키 속성이 복합키 전체에 의존하는지 확인해야 한다.","[[대체키]], [[외래키]], [[무결성]], [[개체 무결성]], [[SQL]]",07-02-00-정규화.md; 07-02-01-1NF-2NF-3NF.md; 07-02-02-이상현상과-함수종속.md,"데이터베이스 문제에서는 복합키의 정의만 쓰지 말고 관련 개념(대체키, 외래키, 무결성)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,중,/api/concept-images/CS-060.svg,"복합키(데이터베이스)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 대체키, 외래키, 무결성",,,0
CS-061,컴퓨터구조,Computer Architecture,컴퓨터구조,C,ㅋ,"컴퓨터구조는 명령어 집합, CPU 구성, 메모리 계층, 입출력 연결 방식을 통해 소프트웨어 명령이 하드웨어에서 어떻게 실행되는지 설명하는 설계 관점입니다.","의미: 컴퓨터구조는 프로그래머가 보는 ISA와 실제 구현인 마이크로아키텍처를 연결해, 명령어가 인출·해독·실행되고 데이터가 레지스터·캐시·메모리·입출력 장치를 오가는 방식을 다룹니다. 성능, 비용, 전력, 호환성의 균형이 핵심입니다. 활용: 면접에서는 컴퓨터구조를 단순 부품 목록이 아니라 성능 병목을 설명하는 언어로 써야 합니다. 캐시 미스, 파이프라인 해저드, DMA, 인터럽트는 애플리케이션 지연시간과 직접 연결됩니다. 금융 시스템의 저지연 처리나 대량 정산 배치도 구조적 한계를 이해해야 튜닝 방향이 명확해집니다.","[[CPU]], [[ALU]], [[캐시]], [[메모리 계층]]",14-컴퓨터구조-심화.md; 06-02-02-선점형과-비선점형.md; 05-14-19-한국은행-2025-컴퓨터공학-학술-9-컴퓨터구조-캐시-메모리.md,"컴퓨터구조 문제에서는 컴퓨터구조의 정의만 쓰지 말고 관련 개념(CPU, ALU, 캐시)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,중,중,/api/concept-images/CS-061.svg,"컴퓨터구조(컴퓨터구조)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: CPU, ALU, 캐시",,,0
CS-062,기밀성,Confidentiality,보안,C,ㄱ,기밀성은 허가되지 않은 주체가 데이터 내용을 보거나 추론하지 못하도록 암호화와 접근통제로 노출을 제한하는 보안 속성입니다.,"의미: 기밀성은 정보보호의 CIA 중 하나로, 민감 정보가 승인된 사용자와 시스템에만 공개되어야 한다는 성질입니다. 무결성이 변조 방지, 가용성이 사용 가능성이라면 기밀성은 노출 방지에 초점을 둡니다. 활용: 암호화, 접근통제, 마스킹, 토큰화, 망 분리, 화면 캡처 통제, 로그 민감정보 제거가 대표 수단입니다. 금융권에서는 주민등록번호, 계좌번호, 인증정보, 거래내역이 핵심 대상이며 운영자 권한과 백업 파일도 같은 수준으로 관리해야 합니다. 암호화만으로 충분하지 않고 키 관리, 복호화 권한, 전송 경로, 출력물 관리까지 포함해야 실제 기밀성이 보장됩니다.","[[정보보호]], [[무결성]], [[가용성]], [[인증]], [[암호화]]",05-14-02-한국은행-2019-컴퓨터공학-학술-파트-II.md; 04-04-네트워크-프로토콜-보안.md; 04-05-자료구조-알고리즘-DB-금융IT.md,"보안 문제에서는 기밀성의 정의만 쓰지 말고 관련 개념(정보보호, 무결성, 가용성)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,상,중,/api/concept-images/CS-062.svg,"기밀성(보안)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 정보보호, 무결성, 가용성",,,0
CS-063,형상 관리,Configuration Management,소프트웨어공학,C,ㅎ,형상 관리는 소스코드·문서·설정·빌드 산출물의 버전과 변경 이력을 통제해 일관된 제품 상태를 재현하고 감사 가능하게 하는 관리 활동입니다.,"의미: 형상 관리는 소프트웨어를 구성하는 항목을 식별하고, 변경 요청·승인·버전·릴리스 기준선을 관리하는 활동이다. Git 같은 버전 관리가 핵심 도구지만, 형상 관리는 문서, 환경 설정, 배포 산출물, 변경 승인까지 포함한다. 활용: 금융권 운영에서는 어떤 소스와 DB 스크립트, 설정값이 특정 배포에 포함됐는지 재현할 수 있어야 장애 분석과 감사 대응이 가능하다. 브랜치 전략, 태그, 릴리스 노트, 접근권한을 표준화하지 않으면 긴급 패치와 정기 배포가 충돌해 운영 위험이 커진다.","[[동등 분할]], [[회귀 테스트]], [[Git]], [[브랜치]], [[테스트]]",보강 개념(페이지 직접 언급 없음),"소프트웨어공학 문제에서는 형상 관리의 정의만 쓰지 말고 관련 개념(동등 분할, 회귀 테스트, Git)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,하,중,/api/concept-images/CS-063.svg,"형상 관리(소프트웨어공학)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 동등 분할, 회귀 테스트, Git",,,0
CS-064,혼동 행렬,Confusion Matrix,인공지능·데이터,C,ㅎ,"혼동 행렬은 분류 결과를 실제·예측 클래스의 조합으로 나눠 정확도, 정밀도, 재현율의 근거를 보여주는 표입니다.","의미: 혼동 행렬은 TP, FP, FN, TN을 통해 모델이 어떤 오류를 냈는지 구조적으로 보여준다. 정확도는 전체 맞힌 비율, 정밀도는 양성 예측의 신뢰도, 재현율은 실제 양성을 놓치지 않는 정도로 여기서 계산된다. 활용: 사기 탐지처럼 정상 거래가 압도적으로 많은 경우 정확도보다 FN과 FP의 비용을 따져 임계값을 조정한다. 다중 클래스 문제에서는 클래스별 행렬이나 매크로·마이크로 평균을 함께 보고, 운영 데이터 분포 변화로 오류 유형이 바뀌는지도 모니터링해야 한다.","[[검증 데이터]], [[테스트 데이터]], [[정확도]], [[정밀도]], [[머신러닝]]",보강 개념(페이지 직접 언급 없음),"인공지능·데이터 문제에서는 혼동 행렬의 정의만 쓰지 말고 관련 개념(검증 데이터, 테스트 데이터, 정확도)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,중,/api/concept-images/CS-064.svg,"혼동 행렬(인공지능·데이터)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 검증 데이터, 테스트 데이터, 정확도",,,0
CS-065,합의 알고리즘,Consensus Algorithm,금융IT·신기술,C,ㅎ,합의 알고리즘은 분산 노드들이 장애나 악의적 행동이 있어도 동일한 원장 상태와 거래 순서를 결정하도록 해 신뢰를 형성하는 규칙입니다.,"의미: 합의 알고리즘은 중앙 서버 없이 여러 참여자가 어떤 블록이나 상태가 정당한지 결정하는 절차다. 작업증명, 지분증명, BFT 계열은 보안 가정, 성능, 에너지 비용, 참여자 통제 방식이 다르다. 활용: 블록체인과 분산원장에서 이중지불 방지, 거래 순서 확정, 장애 허용성을 보장하는 핵심 요소로 쓰인다. 금융권에서는 처리량, 지연시간, 최종성, 검증자 책임이 중요하므로 공개 네트워크용 합의와 허가형 네트워크용 합의를 구분하고 장애·부정행위 시 책임 소재까지 검토해야 한다.","[[해시 체인]], [[머클 트리]], [[작업증명]], [[지분증명]], [[전자금융]]",05-01-우리은행-기출.md; 05-03-대구은행-기출.md; 04-01-빅데이터-블록체인-머신러닝.md,"금융IT·신기술 문제에서는 합의 알고리즘의 정의만 쓰지 말고 관련 개념(해시 체인, 머클 트리, 작업증명)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,상,/api/concept-images/CS-065.svg,"합의 알고리즘(금융IT·신기술)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 해시 체인, 머클 트리, 작업증명",,,0
CS-066,컨테이너,Container,클라우드·분산시스템,C,ㅋ,컨테이너는 애플리케이션과 의존성을 이미지로 묶어 호스트 커널을 공유하면서 격리 실행하는 경량 배포 단위입니다.,"의미: 컨테이너는 VM처럼 전체 운영체제를 복제하지 않고 프로세스 격리와 파일시스템 계층을 이용해 애플리케이션 실행 환경을 표준화한다. 그래서 시작이 빠르고 밀도가 높지만 커널을 공유하므로 격리 수준은 VM과 다르다. 활용: 개발·운영 환경 차이를 줄이고 Kubernetes에서 자동 배포와 확장을 하기 좋다. 금융권에서는 이미지 취약점 스캔, 비밀정보 주입 방식, 루트 권한 제한, 로그 수집을 함께 관리해야 하며 컨테이너 자체는 상태 저장과 네트워크 정책을 자동으로 해결하지 않는다.","[[하이퍼바이저]], [[VM]], [[Docker]], [[Kubernetes]], [[분산 시스템]]",05-09-운영체제-기출-모음.md; 17-2-컨테이너.md; 05-03-대구은행-기출.md,"클라우드·분산시스템 문제에서는 컨테이너의 정의만 쓰지 말고 관련 개념(하이퍼바이저, VM, Docker)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,상,하,/api/concept-images/CS-066.svg,"컨테이너(클라우드·분산시스템)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 하이퍼바이저, VM, Docker",,,0
CS-067,문맥 교환,Context Switch,운영체제,C,ㅁ,문맥 교환은 CPU가 실행 중인 프로세스나 스레드를 바꿀 때 레지스터·프로그램 카운터 등 실행 상태를 저장하고 다음 작업의 상태를 복원하는 운영체제 절차입니다.,"의미: 문맥 교환은 현재 실행 단위의 CPU 상태를 PCB나 TCB에 저장하고, 스케줄러가 선택한 다음 실행 단위의 상태를 복원해 실행을 이어가는 과정입니다. 이때 레지스터 저장뿐 아니라 캐시 오염, TLB 플러시, 커널 진입 비용도 발생할 수 있습니다. 활용: 문맥 교환은 멀티태스킹의 기반이지만 너무 잦으면 실제 업무 처리보다 전환 비용이 커집니다. I/O 대기 작업에는 유리하지만 짧은 CPU 작업이 과도하게 쪼개지면 손해입니다. 금융 거래 서버에서는 스레드 수, 락 경합, 비동기 I/O 설계가 지연시간 꼬리값에 영향을 줍니다.","[[멀티스레딩]], [[PCB]], [[프로세스 상태]], [[준비 큐]], [[프로세스]]",보강 개념(페이지 직접 언급 없음),"운영체제 문제에서는 문맥 교환의 정의만 쓰지 말고 관련 개념(멀티스레딩, PCB, 프로세스 상태)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,중,/api/concept-images/CS-067.svg,"문맥 교환(운영체제)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 멀티스레딩, PCB, 프로세스 상태",,,0
CS-068,결합도,Coupling,소프트웨어공학,C,ㄱ,"결합도는 모듈들이 서로 얼마나 강하게 의존하는지를 나타내며, 낮을수록 변경 영향과 테스트 부담, 장애 전파 위험이 줄어드는 설계 척도입니다.","의미: 결합도는 한 모듈의 변경이 다른 모듈에 얼마나 영향을 주는지 보여주는 척도다. 높은 결합도는 내부 구현, 전역 상태, 데이터 형식에 직접 의존하는 경우에 생기며, 응집도와 함께 모듈 품질을 판단한다. 활용: 금융 업무에서 계좌 서비스가 고객, 상품, 알림 DB 테이블을 직접 수정하면 변경 범위가 커지고 장애 전파가 쉽다. 인터페이스, 이벤트, DTO, 의존성 역전으로 결합을 낮출 수 있지만, 무조건 분리하면 분산 트랜잭션과 운영 복잡도가 증가하므로 업무 경계와 일관성 요구를 기준으로 조정해야 한다.","[[아키텍처]], [[모듈화]], [[응집도]], [[정보 은닉]], [[테스트]]",05-14-06-한국은행-2022-컴퓨터공학-학술-파트-I.md; 05-08-산업은행-기출.md; 11-03-설계-결합도-응집도.md,"소프트웨어공학 문제에서는 결합도의 정의만 쓰지 말고 관련 개념(아키텍처, 모듈화, 응집도)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,상,중,/api/concept-images/CS-068.svg,"결합도(소프트웨어공학)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 아키텍처, 모듈화, 응집도",,,0
CS-069,CPM,CPM,소프트웨어공학,C,C,CPM은 작업 기간과 선후관계를 이용해 프로젝트 완료 시간을 결정하는 핵심 경로를 찾고 일정 지연 위험을 관리하는 기법입니다.,"의미: CPM은 각 작업의 소요 기간이 비교적 확정돼 있다고 보고, 네트워크상에서 총 프로젝트 기간을 좌우하는 최장 경로인 임계 경로를 계산하는 일정 관리 기법이다. PERT가 낙관·비관·최빈 추정으로 불확실성을 다룬다면 CPM은 확정 기간과 여유시간 분석에 초점이 있다. 활용: 전산센터 이전, 금융 시스템 전환, 대규모 배포 계획에서 선행 작업과 병렬 가능 작업을 구분한다. 임계 경로의 지연은 전체 일정 지연으로 이어지므로 인력 보강, 범위 축소, 단계별 오픈 같은 대응을 우선 검토해야 한다.","[[기능 점수]], [[COCOMO]], [[PERT]], [[테스트]], [[형상 관리]]",05-05-SGI서울보증-기출.md; 05-13-알고리즘-기출-모음.md,"소프트웨어공학 문제에서는 CPM의 정의만 쓰지 말고 관련 개념(기능 점수, COCOMO, PERT)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,상,/api/concept-images/CS-069.svg,"CPM(소프트웨어공학)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 기능 점수, COCOMO, PERT",,,0
CS-070,CSRF,CSRF,보안,C,C,CSRF는 사용자가 로그인한 상태를 악용해 공격자가 의도한 요청을 정상 사용자 권한으로 서버에 보내게 만드는 웹 공격입니다.,"의미: CSRF는 Cross-Site Request Forgery로, 피해자가 인증된 세션 쿠키를 가진 상태에서 악성 페이지나 링크를 열면 브라우저가 자동으로 쿠키를 붙여 원치 않는 요청을 보내는 공격입니다. XSS가 스크립트 실행에 초점을 둔다면 CSRF는 사용자의 인증 상태를 빌려 요청을 위조합니다. 활용: 송금, 비밀번호 변경, 권한 변경처럼 상태가 바뀌는 요청은 CSRF 토큰, SameSite 쿠키, Origin/Referer 검증, 재인증으로 보호해야 합니다. GET 요청에 상태 변경 기능을 넣으면 위험이 커집니다. 금융권 면접에서는 단순 로그인 여부가 아니라 요청 의도 검증이 핵심이며, API는 쿠키 기반 인증인지 토큰 기반 인증인지에 따라 대응이 달라진다고 설명하면 좋습니다.","[[XSS]], [[SQL Injection]], [[세션 하이재킹]], [[DDoS]], [[인증]]",05-14-32-한국은행-2026-컴퓨터공학-학술-7-보안.md; 20-5-금융보안원-면접.md; 05-14-한국은행-기출.md,"보안 문제에서는 CSRF의 정의만 쓰지 말고 관련 개념(XSS, SQL Injection, 세션 하이재킹)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,상,상,/api/concept-images/CS-070.svg,"CSRF(보안)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: XSS, SQL Injection, 세션 하이재킹",,,0
CS-071,DAC,DAC,보안,D,D,DAC는 자원 소유자가 접근 권한을 재량으로 부여·회수하는 모델로 유연하지만 권한 전파와 오남용 관리가 중요합니다.,"의미: DAC는 Discretionary Access Control로, 파일이나 객체의 소유자가 다른 사용자에게 읽기·쓰기·실행 권한을 줄 수 있는 접근통제 모델입니다. 중앙 정책이 강제되는 MAC보다 유연하고, 직무 중심 RBAC보다 개별 자원 소유자의 판단이 크게 작용합니다. 활용: 일반 OS 파일 권한, 공유 폴더, 문서 협업 권한에서 흔히 볼 수 있습니다. 다만 사용자가 실수로 민감 파일을 넓게 공유하거나 권한이 연쇄적으로 퍼질 수 있어 감사와 기본값 제한이 필요합니다. 금융권처럼 규정 준수가 중요한 환경에서는 DAC만으로는 부족하며, 중요 정보에는 RBAC·MAC 성격의 중앙 정책과 승인 절차를 함께 적용하는 것이 안전합니다.","[[인가]], [[접근통제]], [[MAC]], [[RBAC]], [[인증]]",10-02-인증-인가-접근통제.md,"보안 문제에서는 DAC의 정의만 쓰지 말고 관련 개념(인가, 접근통제, MAC)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,중,/api/concept-images/CS-071.svg,"DAC(보안)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 인가, 접근통제, MAC",,,0
CS-072,데이터 마이닝,Data Mining,인공지능·데이터,D,ㄷ,"데이터 마이닝은 대량 데이터에서 통계·기계학습 기법으로 반복 패턴, 연관성, 이상 신호를 찾아 의사결정에 연결하는 과정입니다.","의미: 데이터 마이닝은 저장된 데이터를 단순 조회하는 것이 아니라 전처리, 패턴 발견, 모델링, 결과 해석을 거쳐 유용한 지식을 추출하는 활동이다. 연관 규칙, 군집화, 분류, 이상 탐지가 대표 기법이다. 활용: 카드 사용 패턴 분석, 고객 이탈 예측, 내부통제 이상 징후 탐지에 쓰인다. 하지만 상관관계를 인과관계로 오해하거나, 과거 데이터 편향을 그대로 학습하면 의사결정을 왜곡할 수 있다. 면접에서는 빅데이터 인프라와 머신러닝 모델 사이의 분석 과정으로 설명하면 명확하다.","[[빅데이터]], [[3V]], [[머신러닝]], [[훈련 데이터]], [[평가 지표]]",05-03-대구은행-기출.md,"인공지능·데이터 문제에서는 데이터 마이닝의 정의만 쓰지 말고 관련 개념(빅데이터, 3V, 머신러닝)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,중,/api/concept-images/CS-072.svg,"데이터 마이닝(인공지능·데이터)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 빅데이터, 3V, 머신러닝",,,0
CS-073,데이터 전처리,Data Preprocessing,인공지능·데이터,D,ㄷ,데이터 전처리는 원천 데이터의 결측·이상·스케일·형식을 학습 가능한 형태로 정리해 모델 품질의 하한을 높이는 단계입니다.,"의미: 데이터 전처리는 결측치 처리, 이상치 점검, 범주형 인코딩, 정규화, 중복 제거처럼 모델이 데이터를 안정적으로 해석하게 만드는 준비 과정이다. 알고리즘보다 전처리가 성능과 재현성에 더 큰 영향을 주는 경우가 많다. 활용: 금융 데이터에서는 거래 취소, 휴일 효과, 지점 코드 변경처럼 업무 의미를 모르면 잘못 처리하기 쉽다. 훈련 데이터에서 계산한 스케일러나 인코더를 검증·테스트에도 동일하게 적용해야 하며, 테스트 데이터 정보를 미리 쓰는 데이터 누수를 피해야 한다.","[[역전파]], [[특성 공학]], [[이상치]], [[결측치]], [[머신러닝]]",보강 개념(페이지 직접 언급 없음),"인공지능·데이터 문제에서는 데이터 전처리의 정의만 쓰지 말고 관련 개념(역전파, 특성 공학, 이상치)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,하,중,/api/concept-images/CS-073.svg,"데이터 전처리(인공지능·데이터)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 역전파, 특성 공학, 이상치",,,0
CS-074,자료구조,Data Structure,자료구조·알고리즘,D,ㅈ,자료구조는 데이터의 저장 형태와 연산 규칙을 정해 접근·삽입·삭제·순회의 비용과 표현 가능성을 결정하는 설계 선택입니다.,"의미: 자료구조는 값을 단순히 담는 그릇이 아니라 어떤 연산을 빠르게 할지에 맞춰 메모리 배치와 관계를 정의하는 방식입니다. 배열, 연결 리스트, 트리, 그래프, 해시 테이블은 각각 시간복잡도와 공간복잡도, 구현 난이도가 다릅니다. 활용: 계좌 조회처럼 키 검색이 많으면 해시나 트리, 거래 순서 처리에는 큐, 우선순위 처리는 힙을 선택합니다. 면접에서는 “무엇이 더 좋은가”보다 입력 크기, 갱신 빈도, 정렬 필요성, 최악 성능 보장 여부를 기준으로 비교해야 합니다.","[[배열]], [[연결 리스트]], [[시간 복잡도]], [[공간 복잡도]]",07-01-02-키와-무결성.md; 05-08-산업은행-기출.md; 07-01-01-릴레이션-튜플-속성.md,"자료구조·알고리즘 문제에서는 자료구조의 정의만 쓰지 말고 관련 개념(배열, 연결 리스트, 시간 복잡도)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,중,/api/concept-images/CS-074.svg,"자료구조(자료구조·알고리즘)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 배열, 연결 리스트, 시간 복잡도",,,0
CS-075,데이터베이스,Database,데이터베이스,D,ㄷ,데이터베이스는 조직의 데이터를 중복과 불일치를 줄이도록 통합 저장하고 여러 사용자가 안전하게 공유·검색·갱신하게 하는 체계입니다.,"의미: 데이터베이스는 관련 데이터를 파일처럼 흩어 두지 않고 공통 구조와 제약 아래 저장한 집합이다. 핵심 목적은 데이터 독립성, 무결성, 동시 접근, 장애 복구를 제공해 업무 사실을 일관되게 관리하는 것이다. 활용: 금융권에서는 계좌, 고객, 거래, 감사 로그가 서로 연결되므로 DB 설계가 업무 신뢰성과 규제 대응의 기반이 된다. 단순 저장소와 달리 스키마, 트랜잭션, 권한, 백업 정책을 함께 고려해야 하며, 분석용 데이터 웨어하우스와 운영계 OLTP의 목적 차이도 구분해야 한다.","[[DBMS]], [[스키마]], [[SQL]], [[트랜잭션]], [[정규화]]",05-14-06-한국은행-2022-컴퓨터공학-학술-파트-I.md; 05-14-11-한국은행-2025-컴퓨터공학-학술-1-데이터베이스.md; 07-01-02-키와-무결성.md,"데이터베이스 문제에서는 데이터베이스의 정의만 쓰지 말고 관련 개념(DBMS, 스키마, SQL)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,중,하,/api/concept-images/CS-075.svg,"데이터베이스(데이터베이스)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: DBMS, 스키마, SQL",,,0
CS-076,DBMS,Database Management System,데이터베이스,D,D,DBMS는 데이터베이스 생성·조회·갱신·권한·동시성·복구를 관리해 애플리케이션이 데이터를 안정적으로 다루게 하는 소프트웨어입니다.,"의미: DBMS는 사용자와 데이터베이스 사이에서 SQL 처리, 저장 구조 관리, 트랜잭션 제어, 보안, 백업·복구를 담당하는 시스템 소프트웨어다. 애플리케이션은 물리적 파일 배치보다 논리적 스키마와 질의에 집중할 수 있다. 활용: 은행 계정계처럼 장애 허용도가 낮은 시스템에서는 DBMS의 로그, 락, MVCC, 권한 관리가 직접적인 품질 요소가 된다. 제품마다 SQL 문법, 격리 수준 구현, 인덱스 구조가 다르므로 표준 개념과 벤더별 동작을 구분해 설명해야 한다.","[[데이터베이스]], [[스키마]], [[인스턴스]], [[SQL]], [[트랜잭션]]",10-03-01-XSS-SQL-Injection.md; 13-01-00-SQL-기본.md; 05-10-데이터베이스-기출-모음.md,"데이터베이스 문제에서는 DBMS의 정의만 쓰지 말고 관련 개념(데이터베이스, 스키마, 인스턴스)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,중,/api/concept-images/CS-076.svg,"DBMS(데이터베이스)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 데이터베이스, 스키마, 인스턴스",,,0
CS-077,DCL,DCL,데이터베이스,D,D,"DCL은 사용자 권한을 부여하거나 회수해 데이터 접근 범위를 통제하는 SQL 하위 언어로, 보안과 감사 통제의 주요 출발점입니다.","의미: DCL은 Data Control Language의 약자로, GRANT와 REVOKE처럼 데이터베이스 객체에 대한 권한을 관리하는 SQL 명령군이다. DDL이 구조를, DML이 데이터를, TCL이 트랜잭션을 다룬다면 DCL은 누가 무엇을 할 수 있는지를 정한다. 활용: 금융 시스템에서는 최소 권한 원칙에 따라 조회, 입력, 승인, 운영 권한을 분리해야 한다. 계정 공유나 과도한 DBA 권한은 내부통제 사고로 이어질 수 있으며, 역할 기반 권한과 감사 로그를 함께 설계해야 면접 답변에서 실무성이 살아난다.","[[DDL]], [[DML]], [[TCL]], [[SELECT]], [[SQL]]",05-08-산업은행-기출.md; 04-02-프로그래밍-SQL-분산-클라우드.md,"데이터베이스 문제에서는 DCL의 정의만 쓰지 말고 관련 개념(DDL, DML, TCL)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,중,/api/concept-images/CS-077.svg,"DCL(데이터베이스)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: DDL, DML, TCL",,,0
